Which tool do you use to create architecture views? (if any) [CODED],Which tool do you use to create architecture views? (if any) [CODED],Which tool do you use to create architecture views? (if any) [CODED],,Free form VS Fixed Notation,License Type,OSS,Collaborative VS Single User,Integrated to IDE vs Standalone,Diagram as a Code Native Support,NOTE,,,ASCII-Art,1,,,,,,Free form VS Fixed Notation,License Type,OSS,Collaborative VS Single User,Integrated to IDE vs Standalone,Diagram as a Code Support,NOTE
"Visual Paradigm, Miro",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Visio,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Excalidraw, Mermaid",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Miro, Free hand",LucidChart,,,,,,,,,,,,,,,,,,,,,,,,,
Visio,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Visio, https://github.com/mingrammer/diagrams", AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, TikZ, Dia", Visio,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio, LucidChart", PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, Mermaid",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, Sigma", AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides, Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
Mermaid,PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Excalidraw, Mermaid", AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"AWS Architecture, LucidChart",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, Visio,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, Visio",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, Visio,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Visio, Mermaid, Miro", LucidChart,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, Visio", MockUp,,,,,,,,,,,,,,,,,,,,,,,,,
SVG software,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, Visio,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture", AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
Eraser,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides, Freeform,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
Figma / FigJam, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Google Drawings,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, LucidChart",Markdown,,,,,,,,,,,,,,,,,,,,,,,,,
LucidChart, PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PlantUML, Mermaid",  Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, TLdraw,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Figma / FigJam", Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, Dia",Vim,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
PlantUML,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides, Visio,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", Adobe XD,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Mermaid, Miro", Gaphor,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, LucidChart",PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Miro,,,,,,,,,,,,,,,,,,,,,,,,,
Free hand,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Excalidraw", Visio,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Visio", PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Excalidraw, ,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides, Visio", Lark,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, LucidChart",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, Miro", PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
LucidChart,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Miro, StarUML,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides, AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, Miro,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Excalidraw",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
PlantUML, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, Visio,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides",PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Excalidraw, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Miro",Gliffy,,,,,,,,,,,,,,,,,,,,,,,,,
"PlantUML, Structurizr ", Confluence,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Python",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", Visio,,,,,,,,,,,,,,,,,,,,,,,,,
Excalidraw,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio", PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Structurizr, Mermaid, PlantUML",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Excalidraw",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Caldera’s, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Visio",Feishu,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Miro",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides,PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides, Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Excalidraw , Mermaid",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"AWS Architecture, Visio", Visio,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, Visual Paradigm,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, Markdown, asciidoc, Structurizr", PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
Mermaid, Visio,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Inkscape",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Monodraw,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Figma / FigJam, Miro",PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio", PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Visio", Visio,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio", Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Gliffy",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, UML compiler",PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
OmniGraffle,Inkscape,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Paint",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
Monodraw,SequenceDiagram,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Whimsical",Visual Paradigm,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio", Miro,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Visio,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides,Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Excalidraw, Miro,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, Free hand,,,,,,,,,,,,,,,,,,,,,,,,,
,Visio,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, Visio,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, https://github.com/mingrammer/diagrams,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Umbrello, TikZ,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", Dia,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, PlantUML",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Excalidraw, Mermaid",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Free hand, Figma / FigJam", Visio,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, LucidChart,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides,PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Visio", Sigma,,,,,,,,,,,,,,,,,,,,,,,,,
,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Miro, Markdown",Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Pyhton diagrams",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Miro, Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
LucidChart, Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
Excalidraw,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio, Free hand",AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio", LucidChart,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, LucidChart",PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, LucidChart, Miro", Visio,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net,  Excalidraw, Mermaid, Cloudcraft ",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", Visio,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, Miro,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides", AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", Visio,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,SVG software,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, Visio",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Miro, Milanote",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
OmniGraffle,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Miro", AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, ascii diagrams on markdown",Eraser,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Free hand,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Figma / FigJam,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Whimsical",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, LucidChart,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides,LucidChart,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Mermaid", Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, Visio",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Mural, Google Drawings",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, Processon",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides, Figma / FigJam,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, Dia,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Visio",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture",PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Visio", AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Jetbrains Resharper Extension,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Excalidraw", Mermaid,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, Miro,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Excalidraw, Miro, Whimsical", LucidChart,,,,,,,,,,,,,,,,,,,,,,,,,
"GraphViz, Excalidraw, Canva,  Mermaid",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, Excalidraw",Free hand,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, AWS Architecture, PowerPoint / Keynote / Slides, Visio", Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
Excalidraw,PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
AWS Architecture,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
PowerPoint / Keynote / Slides, Visio,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides",Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides, Visio",Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
Draw.io / Diagram.net,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoint / Keynote / Slides, LibreOffice Draw", AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
GraphViz, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
"Draw.io / Diagram.net, PowerPoint / Keynote / Slides", Visio,,,,,,,,,,,,,,,,,,,,,,,,,
,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
, LucidChart,,,,,,,,,,,,,,,,,,,,,,,,,
,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
,PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
, Miro,,,,,,,,,,,,,,,,,,,,,,,,,
,LucidChart,,,,,,,,,,,,,,,,,,,,,,,,,
,Miro,,,,,,,,,,,,,,,,,,,,,,,,,
,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
,PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
, Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
,PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
, AWS Architecture,,,,,,,,,,,,,,,,,,,,,,,,,
, PowerPoint / Keynote / Slides,,,,,,,,,,,,,,,,,,,,,,,,,
,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
,Excalidraw,,,,,,,,,,,,,,,,,,,,,,,,,
,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
, Miro,,,,,,,,,,,,,,,,,,,,,,,,,
,PlantUML,,,,,,,,,,,,,,,,,,,,,,,,,
, Structurizr ,,,,,,,,,,,,,,,,,,,,,,,,,
,Draw.io / Diagram.net,,,,,,,,,,,,,,,,,,,,,,,,,
, Python,,,,,,,,,,,,,,,,,,,,,,,,,
